SCHOOL_ID,Short_Name,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
609771,ABBOTT,POINT (-87.63270195209944 41.828146021786885),2010,3630 S WELLS ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.63270195,41.82814602
400010,ACE TECHNICAL CHARTER HS,POINT (-87.62579403613516 41.796122241342225),7950,5410 S STATE ST,HS,"9, 10, 11, 12",Charter,-87.62579404,41.79612224
400008,ACT CHARTER HS,POINT (-87.69918625214332 41.88290876862854),1720,2908 W WASHINGTON BLVD,HS,"7, 8, 9, 10, 11, 12",Charter,-87.69918625,41.88290877
609772,ADDAMS,POINT (-87.5329211146501 41.69873899004553),2020,10810 S AVE H,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.53292111,41.69873899
609773,AGASSIZ,POINT (-87.6562837707163 41.93412518730777),2030,2851 N SEMINARY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65628377,41.93412519
610212,ALBANY PARK,POINT (-87.70971912548096 41.971140649377666),6290,4929 N SAWYER AVE,MS,"7, 8, 9",Elementary School,-87.70971913,41.97114065
609774,ALCOTT,POINT (-87.64643150189927 41.92984950718761),2040,2625 N ORCHARD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6464315,41.92984951
609848,ALDRIDGE,POINT (-87.60647393043372 41.65736380143411),2710,630 E 131ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.60647393,41.6573638
609775,ALTGELD,POINT (-87.6582036707504 41.76503473796905),2050,1340 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65820367,41.76503474
610509,AMANDLA,POINT (-87.6352135562614 41.77078441765979),2035,6800 S STEWART AVE,HS,5,Charter,-87.63521356,41.77078442
609780,AMES,POINT (-87.72168722524991 41.916045749548196),2090,1920 N HAMLIN AVE,MS,"7, 8",Elementary School,-87.72168722,41.91604575
609695,AMUNDSEN HS,POINT (-87.67942906566425 41.975068271521494),1210,5110 N DAMEN AVE,HS,"9, 10, 11, 12",High School,-87.67942907,41.97506827
609776,ANDERSEN,POINT (-87.67364094087682 41.90291523933932),2060,1148 N HONORE ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.67364094,41.90291524
609951,ARIEL,POINT (-87.59852018275234 41.811402834532856),3640,1119 E 46TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.59852018,41.81140284
609777,ARMOUR,POINT (-87.65065156641757 41.83381276157823),2070,950 W 33RD PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65065157,41.83381276
609779,"ARMSTRONG, G",POINT (-87.68443853037824 42.01010889784261),2080,2110 W GREENLEAF AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68443853,42.0101089
610156,"ARMSTRONG, L",POINT (-87.75923572293058 41.873850749252306),5700,5345 W CONGRESS PKWY,ES,"3, 4, 5, 6",Elementary School,-87.75923572,41.87385075
610287,ASHBURN,POINT (-87.70955472187194 41.74235122680972),7100,8300 S SAINT LOUIS AVE,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70955472,41.74235123
610268,ASHE,POINT (-87.60122934426457 41.74018262139516),6900,8505 S INGLESIDE AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.60122934,41.74018262
400013,ASPIRA  ANTONIO PANTOJA EARLY COLLEGE CAMPUS,POINT (-87.72709501123593 41.93791637248452),7803,3121 N PULASKI RD,HS,9,Charter,-87.72709501,41.93791637
610343,ASPIRA HAUGAN MIDDLE,POINT (-87.72182548519669 41.966446827380345),3500,3729 W LELAND AVE,MS,"6, 7, 8",Charter,-87.72182548,41.96644683
400015,ASPIRA RAMIREZ COMPUTER SCIENCE,POINT (-87.69699647365387 41.91250450900049),7800,1711 N CALIFORNIA AVE,HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.69699647,41.91250451
609781,ATTUCKS,POINT (-87.62757362285201 41.82502556558214),2100,3813 S DEARBORN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62757362,41.82502557
609782,AUDUBON,POINT (-87.68098592617605 41.945063117539995),2110,3500 N HOYNE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68098593,41.94506312
400018,AUSTIN BUS & ENTRP HS,POINT (-87.7633039457958 41.885212415473156),7020,231 N PINE AVE,HS,"9, 10, 11",Contract,-87.76330395,41.88521242
610501,AUSTIN POLYTECHNICAL ACADEMY,POINT (-87.7633039457958 41.885212415473156),1065,231 N PINE AVE,HS,"9, 10",High School,-87.76330395,41.88521242
609786,AVALON PARK,POINT (-87.59170876468859 41.74824626376399),2130,8045 S KENWOOD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.59170876,41.74824626
609787,AVONDALE,POINT (-87.70867090249254 41.93523083697089),2140,2945 N SAWYER AVE,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.7086709,41.93523084
610265,BANNEKER,POINT (-87.63723603950314 41.772700321412586),6880,6656 S NORMAL BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.63723604,41.77270032
609788,BARNARD,POINT (-87.6580217823479 41.70514325427664),2150,10354 S CHARLES ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65802178,41.70514326
609789,BARRY,POINT (-87.7393332479736 41.93251157530444),2160,2828 N KILBOURN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.73933325,41.93251158
609790,BARTON,POINT (-87.6708721665696 41.75419473848145),2170,7650 S WOLCOTT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.67087217,41.75419474
609791,BASS,POINT (-87.65353149090227 41.77420528921394),2180,1140 W 66TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65353149,41.77420529
609792,BATEMAN,POINT (-87.70209582433004 41.958220796198134),2190,4220 N RICHMOND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70209582,41.9582208
610083,BEARD,POINT (-87.78963101547173 41.97016604322827),4950,6445 W STRONG ST,ES,"PK, K, 1, 2, 3",Elementary School,-87.78963102,41.97016604
610246,BEASLEY,POINT (-87.62574657461097 41.79846414649305),6660,5255 S STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62574657,41.79846415
609796,BEAUBIEN,POINT (-87.75762018513949 41.97239291395106),2240,5025 N LARAMIE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.75762018,41.97239292
610237,BEETHOVEN,POINT (-87.62713837170747 41.80917589994517),6540,25 W 47TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62713837,41.8091759
609797,BEIDLER,POINT (-87.70585565387351 41.88536219866593),2250,3151 W WALNUT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70585565,41.8853622
609798,BELDING,POINT (-87.73407487179617 41.95893782982092),2260,4257 N TRIPP AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.73407487,41.95893783
609799,BELL,POINT (-87.68596311472233 41.94953069833995),2270,3730 N OAKLEY AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68596311,41.9495307
609922,BELMONT-CRAGIN,POINT (-87.76975267436369 41.925631312851095),3390,2456 N MANGO AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.76975267,41.92563131
609800,BENNETT,POINT (-87.61744538010095 41.71043426870613),2280,10115 S PRAIRIE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.61744538,41.71043427
610370,BEST PRACTICE HS,POINT (-87.67819409333634 41.87876765658322),1020,2040 W ADAMS ST,HS,"9, 10, 11, 12",High School,-87.67819409,41.87876766
610365,BETHUNE,POINT (-87.70216212755287 41.87012656268519),8020,3030 W ARTHINGTON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70216213,41.87012656
610301,BIG PICTURE BACK OF YARDS HS,POINT (-87.66732275894755 41.80351553642042),7280,4946 S PAULINA ST,HS,"11, 12",High School,-87.66732276,41.80351554
610337,BIG PICTURE WILLIAMS HS,POINT (-87.62849839914931 41.84404371347821),7730,2710 S DEARBORN ST,HS,"11, 12",High School,-87.6284984,41.84404371
610350,BLACK,POINT (-87.57669788565082 41.72969153318797),7860,9101 S EUCLID AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.57669789,41.72969153
609803,BLAINE,POINT (-87.66496669461095 41.95073936627651),2300,1420 W GRACE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6649667,41.95073937
610087,BLAIR ECC,POINT (-87.79060551736696 41.77659742356193),4990,6751 W 63RD PL,ES,PK,Elementary School,-87.79060552,41.77659742
609698,BOGAN HS,POINT (-87.72109851607385 41.749416762507266),1230,3939 W 79TH ST,HS,"9, 10, 11, 12",High School,-87.72109852,41.74941676
610238,BOND,POINT (-87.65296281023726 41.765361397108855),6550,7050 S MAY ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65296281,41.7653614
610161,BONTEMPS,POINT (-87.65633725408034 41.78864169874851),5750,1241 W 58TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65633725,41.7886417
609804,BOONE,POINT (-87.69740764022423 42.00341224782119),2320,6710 N WASHTENAW AVE,ES,"PK, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69740764,42.00341225
609815,BOUCHET,POINT (-87.57612982484663 41.76084680322087),2430,7355 S JEFFERY BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.57612983,41.7608468
610307,BOWEN ENVIRONMENTAL HS,POINT (-87.55775893207843 41.733692372759215),7340,2710 E 89TH ST,HS,"9, 10, 11, 12",High School,-87.55775893,41.73369237
609806,BRADWELL,POINT (-87.55708700601893 41.75436582862669),2340,7736 S BURNHAM AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.55708701,41.75436583
